pws_id,entry_id,count,meter_size_measure,meter_type,type
CA0900664,0,2,0,UN,CB
CA0900665,0,4,0,UN,CB
CA0900667,0,9,0,UN,CB
CA0900669,0,5,0,UN,CB
CA0901217,0,33,0,UN,CB
CA0901219,0,11,0,UN,CB
CA0901222,0,20,0,UN,CB
CA0901223,0,1,0,UN,CB
CA0901228,0,50,0,UN,CB
CA0901229,0,84,0,UN,CB
CA0901230,0,45,0,UN,CB
CA0901232,0,1,0,UN,CB
CA0901239,0,29,0,UN,CB
CA0901243,0,35,0,UN,CB
CA0901244,0,62,0,UN,CB
CA0901246,0,161,0,UN,CB
CA0901247,0,152,0,UN,CB
CA0901248,0,28,0,UN,CB
CA0901249,0,102,0,UN,CB
CA0901250,0,41,0,UN,CB
CA0901252,0,12,0,UN,RS
CA0901260,0,55,0,UN,CB
CA0901281,0,14,0,UN,CB
CA0901282,0,15,0,UN,CB
CA0901285,0,12,0,UN,CB
CA0910001,0,40605,0,UN,CB
CA0910002,0,23935,0,UN,CB
CA0910003,0,2770,0,UN,CB
CA0910006,0,575,0,UN,CB
CA0910007,0,972,0,UN,CB
CA0910012,0,621,0,UN,CB
CA0910013,0,3638,0,UN,CB
CA0910015,0,1563,0,UN,CB
CA0910017,0,147,0,UN,CB
CA0910018,0,191,0,UN,CB
CA0910019,0,134,0,UN,CB
CA0910024,0,46,0,UM,CB
CA0910300,0,1,0,UM,CB
CA0910301,0,14,0,UN,CB
CA0910302,0,2,0,UN,CB
CA0910303,0,13,0,UN,CB
CA0910305,0,5,0,UN,CB
CA1000001,0,22,0,UM,CB
CA1000003,0,53,0,UM,RS
CA1000004,0,40,0,UN,RS
CA1000005,0,11,0,UM,IN
CA1000005,1,56,0,UM,RS
CA1000007,0,24,0,UN,CB
CA1000010,0,21,0,UN,CM
CA1000010,1,71,0,UN,RS
CA1000012,0,60,0,UN,CB
CA1000013,0,18,0,UM,RS
CA1000014,0,19,0,UM,RS
CA1000015,0,25,0,UN,CB
CA1000016,0,18,0,UM,RS
CA1000017,0,2,0,UM,IN
CA1000017,1,94,0,UM,RS
CA1000018,0,1,0,ME,IN
CA1000018,1,106,0,UM,RS
CA1000019,0,56,0,ME,RS
CA1000020,0,38,0,UN,CB
CA1000021,0,149,0,UM,RS
CA1000023,0,41,0,UM,RS
CA1000024,0,16,0,UM,RS
CA1000039,0,47,0,UM,RS
CA1000040,0,46,0,UN,RS
CA1000041,0,60,0,UN,CB
CA1000042,0,69,0,ME,RS
CA1000049,0,18,0,UN,CB
CA1000050,0,64,0,UM,RS
CA1000051,0,137,0,UM,CM
CA1000051,1,1,0,UM,RS
CA1000053,0,1,0,ME,CB
CA1000053,1,152,0,ME,RS
CA1000054,0,1,0,ME,IN
CA1000054,1,18,0,UM,IN
CA1000054,2,88,0,UN,RS
CA1000056,0,120,0,UM,RS
CA1000057,0,29,0,ME,RS
CA1000058,0,44,0,ME,CB
CA1000059,0,27,0,ME,RS
CA1000060,0,1,0,ME,IN
CA1000060,1,4,0,UM,IN
CA1000060,2,1,0,ME,RS
CA1000060,3,62,0,UM,RS
CA1000061,0,74,0,UN,CB
CA1000063,0,35,0,UM,RS
CA1000067,0,22,0,UN,CB
CA1000069,0,200,0,UN,CB
CA1000071,0,65,0,UN,CB
CA1000072,0,1,0,UN,CM
CA1000072,1,93,0,UM,RS
CA1000075,0,10,0,UM,CB
CA1000076,0,1,0,UM,IN
CA1000076,1,32,0,UM,RS
CA1000078,0,104,0,UM,RS
CA1000080,0,56,0,UM,RS
CA1000083,0,15,0,UN,CB
CA1000085,0,15,0,UN,CB
CA1000094,0,25,0,UM,CB
CA1000096,0,8,0,UM,CB
CA1000097,0,20,0,UM,CB
CA1000104,0,3,0,UM,IN
CA1000105,0,8,0,UN,CB
CA1000110,0,13,0,UN,CB
CA1000111,0,1,0,ME,CB
CA1000111,1,11,0,UM,IN
CA1000112,0,6,0,UM,IN
CA1000116,0,23,0,UN,CB
CA1000122,0,33,0,UN,AG
CA1000122,1,2,0,UN,RS
CA1000126,0,3,0,UN,CB
CA1000128,0,6,0,UN,CB
CA1000129,0,63,0,UN,CB
CA1000130,0,27,0,UN,CB
CA1000134,0,18,0,UN,CB
CA1000135,0,5,0,UN,CM
CA1000136,0,18,0,UN,CB
CA1000137,0,37,0,UN,CB
CA1000140,0,51,0,UN,CB
CA1000141,0,23,0,UN,CB
CA1000143,0,19,0,UN,CB
CA1000145,0,11,0,UN,CB
CA1000147,0,45,0,UN,CB
CA1000148,0,2,0,UM,AG
CA1000148,1,22,0,UM,CM
CA1000148,2,4,0,UM,RS
CA1000151,0,11,0,UN,CB
CA1000156,0,1,0,ME,IN
CA1000156,1,11,0,UM,IN
CA1000157,0,1,0,UN,CB
CA1000164,0,25,0,UN,CB
CA1000165,0,65,0,UN,IN
CA1000170,0,55,0,UN,CB
CA1000171,0,1,0,ME,CM
CA1000171,1,2,0,ME,IN
CA1000171,2,1,0,ME,RS
CA1000172,0,50,0,UN,CB
CA1000175,0,7,0,UM,IN
CA1000175,1,5,0,UM,RS
CA1000176,0,5,0,UM,IN
CA1000177,0,2,0,ME,CB
CA1000177,1,9,0,ME,IN
CA1000178,0,1,0,UM,CB
CA1000178,1,15,0,ME,IN
CA1000180,0,1,0,ME,CB
CA1000180,1,1,0,ME,IN
CA1000181,0,8,0,UN,CB
CA1000182,0,1,0,UN,CB
CA1000182,1,5,0,UM,IN
CA1000182,2,2,0,UM,RS
CA1000184,0,1,0,ME,IN
CA1000185,0,1,0,ME,IN
CA1000186,0,2,0,UM,IN
CA1000186,1,9,0,UM,RS
CA1000187,0,1,0,UM,CB
CA1000187,1,9,0,UM,IN
CA1000189,0,1,0,UM,IN
CA1000190,0,6,0,UM,IN
CA1000192,0,3,0,UM,CM
CA1000193,0,1,0,ME,IN
CA1000194,0,1,0,UN,CB
CA1000196,0,8,0,UN,CB
CA1000198,0,25,0,UM,CM
CA1000199,0,1,0,UN,CM
CA1000200,0,1,0,UN,CB
CA1000201,0,10,0,ME,CM
CA1000201,1,9,0,UM,CM
CA1000204,0,33,0,UN,CB
CA1000206,0,4,0,UN,IN
CA1000208,0,1,0,UM,AG
CA1000208,1,11,0,UM,CM
CA1000213,0,2,0,UM,IN
CA1000213,1,18,0,UM,RS
CA1000214,0,4,0,UM,IN
CA1000217,0,10,0,UM,IN
CA1000221,0,23,0,UM,CM
CA1000223,0,106,0,UM,CM
CA1000229,0,1,0,UM,AG
CA1000229,1,112,0,UM,RS
CA1000230,0,8,0,UN,CB
CA1000238,0,25,0,UN,RS
CA1000244,0,60,0,UN,CB
CA1000247,0,1,0,UM,CM
CA1000247,1,48,0,UM,RS
CA1000248,0,37,0,UM,RS
CA1000249,0,37,0,UM,RS
